Date : 2023-07-29 07:14:00
Directory : c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA
Total : 1658 files,  225047 codes, 61858 comments, 65014 blanks, all 351919 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteEstadosArbitro.java                                 | Java            |        218 |         61 |         59 |        338 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteGeneralArbitraje.java                               | Java            |        487 |         16 |         99 |        602 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteIngresos.java                                       | Java            |        168 |         20 |         39 |        227 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteLiberacionLista.java                                | Java            |        143 |         18 |         25 |        186 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteOperadoresSuspendidos.java                          | Java            |        195 |         25 |         63 |        283 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteRadicacionDocumentos.java                           | Java            |        136 |         18 |         26 |        180 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteRepartoPorAbogado.java                              | Java            |        179 |          7 |         78 |        264 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteSalasOcupadas.java                                  | Java            |        199 |          7 |         90 |        296 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteSecretarios.java                                    | Java            |        118 |         17 |         31 |        166 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\controladores\reportes\ControladorReporteTranscripciones.java                                | Java            |        219 |          6 |         87 |        312 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\java\com\ccb\simasc\web\filtro\AuthorizationFilter.java                                                              | Java            |         43 |          2 |         16 |         61 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\resources\Bundle.properties                                                                                          | Java Properties |          1 |          0 |          1 |          2 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\beans.xml                                                                                             | XML             |          4 |          0 |          1 |          5 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\ejb-jar.xml                                                                                           | XML             |          3 |          0 |          1 |          4 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\faces-config.xml                                                                                      | XML             |         21 |          0 |          1 |         22 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\ibm-web-bnd.xml                                                                                       | XML             |          8 |          0 |          2 |         10 |
