Date : 2023-07-29 07:14:00
Directory : c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA
Total : 1658 files,  225047 codes, 61858 comments, 65014 blanks, all 351919 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\InformacionCorreoDTO.java                                          | Java            |         74 |          5 |          5 |         84 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\LiquidacionMinisterioDTO.java                                      | Java            |         45 |         36 |          5 |         86 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\LotesCartasFiltrosDTO.java                                         | Java            |         65 |          0 |         22 |         87 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\NuevaAsesoriaDTO.java                                              | Java            |        196 |          0 |         60 |        256 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ParametrosCarpetaDTO.java                                          | Java            |        181 |          0 |          8 |        189 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ParametrosGenerarCartaDTO.java                                     | Java            |         90 |         24 |         10 |        124 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ParametrosTarifasDTO.java                                          | Java            |         53 |          5 |          5 |         63 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ParametrosTarifasInternacionalesDTO.java                           | Java            |         39 |          0 |          5 |         44 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ParteCasoDTO.java                                                  | Java            |        132 |         10 |          8 |        150 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\PersonaBasicaDTO.java                                              | Java            |        193 |         86 |         19 |        298 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ProcesoReliquidacionDTO.java                                       | Java            |         52 |         36 |          5 |         93 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ProgramacionAudienciaDTO.java                                      | Java            |         22 |          6 |          7 |         35 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RadicacionSolicitudDTO.java                                        | Java            |         36 |          6 |         11 |         53 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RadicacionSolicitudEnmascaradoDTO.java                             | Java            |         36 |          6 |         11 |         53 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RadicarCasoConvenioDTO.java                                        | Java            |         90 |          7 |          9 |        106 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RegistroRecusacionDTO.java                                         | Java            |        114 |         16 |         11 |        141 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RepartoDTO.java                                                    | Java            |         49 |         10 |         10 |         69 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ResultadosTarifaDTO.java                                           | Java            |         20 |          5 |          9 |         34 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\ResultadosTarifaInternacionalDTO.java                              | Java            |         39 |          0 |          5 |         44 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RolPersonaCasoDesignacionDTO.java                                  | Java            |         52 |         32 |         11 |         95 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\RutaDelCasoDTO.java                                                | Java            |         32 |          7 |          7 |         46 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\SolicitudConciliacionDTO.java                                      | Java            |         37 |          6 |          8 |         51 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\SolicitudConciliacionEnmascaradoDTO.java                           | Java            |         48 |          0 |         13 |         61 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\SuspenderDTO.java                                                  | Java            |         81 |          7 |          5 |         93 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\TipoDocumentalDTO.java                                             | Java            |         38 |          0 |          5 |         43 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\formularios\VinculacionPersonaCasoDTO.java                                     | Java            |         55 |         45 |         37 |        137 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\Acto.java                                                         | Java            |         40 |         75 |         14 |        129 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\ActoVigencia.java                                                 | Java            |         48 |         92 |         16 |        156 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\Actos.java                                                        | Java            |         23 |         47 |          9 |         79 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\ActosVigencia.java                                                | Java            |         23 |         47 |          9 |         79 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\ArrayOfDetalleLiquidacionDto.java                                 | Java            |         23 |         47 |          9 |         79 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\Detalle.java                                                      | Java            |         58 |        109 |         18 |        185 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\DetalleLiquidacionDto.java                                        | Java            |        147 |        279 |         38 |        464 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\ObjectFactory.java                                                | Java            |        158 |        156 |         42 |        356 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\RealizarLiquidacionResponse.java                                  | Java            |         21 |         41 |         10 |         72 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\RealizarLiquidacionResult.java                                    | Java            |         48 |         92 |         16 |        156 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\jaxb.properties                                                   | Java Properties |          1 |          0 |          0 |          1 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\pup\generado\package-info.java                                                 | Java            |          2 |          7 |          0 |          9 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\AudienciasPorFechasDTO.java                                           | Java            |         63 |          2 |         24 |         89 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosApoderadoConvenioDTO.java                                        | Java            |         60 |          6 |          6 |         72 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosCobradosDTO.java                                                 | Java            |         62 |         53 |         24 |        139 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosNoAceptadosDTO.java                                              | Java            |         88 |         80 |          8 |        176 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosPagadosDTO.java                                                  | Java            |         52 |         49 |          8 |        109 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosRechazadosCompetenciaDTO.java                                    | Java            |        102 |         89 |         10 |        201 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\CasosSinCerrar90DTO.java                                              | Java            |         56 |          0 |         22 |         78 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\DevolucionDeDineroDTO.java                                            | Java            |         56 |          0 |         19 |         75 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\FacturacionCasosConvenioDTO.java                                      | Java            |        144 |        120 |          8 |        272 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\FiltroReportesDTO.java                                                | Java            |        205 |         89 |          8 |        302 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ListaConciliadoresDTO.java                                            | Java            |         98 |          0 |         32 |        130 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\PlanillaCorrespondenciaDTO.java                                       | Java            |         83 |         71 |          9 |        163 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteActasConstanciasDTO.java                                       | Java            |         67 |         54 |          7 |        128 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteCasosCerradosConciliacionDTO.java                              | Java            |        123 |          0 |          5 |        128 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteCasosCerradosConveniosDTO.java                                 | Java            |         95 |          3 |          5 |        103 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteCasosDevueltosControlLegalidadDTO.java                         | Java            |         74 |          6 |          5 |         85 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteCasosSorteadosDTO.java                                         | Java            |        107 |         39 |         15 |        161 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteConveniosDTO.java                                              | Java            |        144 |        120 |          9 |        273 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteEvaluacionConciliadoresDTO.java                                | Java            |         67 |          0 |         10 |         77 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteGeneralCasosConciliacionDTO.java                               | Java            |        221 |          0 |          5 |        226 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReporteGeneralCasosInsolvenciaDTO.java                                | Java            |        179 |          1 |          7 |        187 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\ReportePartesDeCasoDTO.java                                           | Java            |        130 |         78 |         11 |        219 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\dto\reportes\SeguimientoCasosDTO.java                                              | Java            |        105 |          0 |         34 |        139 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Acuse.java                                                               | Java            |        120 |         38 |         51 |        209 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AcusePK.java                                                             | Java            |         86 |         20 |         36 |        142 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Adjunto.java                                                             | Java            |        118 |         38 |         51 |        207 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AdjuntoPK.java                                                           | Java            |         68 |         20 |         30 |        118 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AgendaPersona.java                                                       | Java            |        239 |         38 |         95 |        372 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Agendamiento.java                                                        | Java            |        266 |         38 |         91 |        395 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AgrupamientoRol.java                                                     | Java            |        119 |         38 |         52 |        209 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AgrupamientoRolPK.java                                                   | Java            |         86 |         20 |         36 |        142 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Alerta.java                                                              | Java            |        308 |         38 |        108 |        454 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Apoderados.java                                                          | Java            |        131 |         38 |         54 |        223 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ApoderadosPK.java                                                        | Java            |        140 |         20 |         53 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ApoderadosSolicitud.java                                                 | Java            |        131 |         50 |         60 |        241 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ApoderadosSolicitudPK.java                                               | Java            |        140 |         20 |         53 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ArbitroCasoLiberacion.java                                               | Java            |         70 |          3 |         28 |        101 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ArbitroCasoLiberacionPK.java                                             | Java            |         58 |          0 |         26 |         84 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Area.java                                                                | Java            |        136 |         38 |         55 |        229 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AreaAsuntoClasificacion.java                                             | Java            |        156 |         38 |         59 |        253 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Asesoria.java                                                            | Java            |        242 |         38 |         92 |        372 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Asunto.java                                                              | Java            |        168 |         38 |         63 |        269 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Audiencia.java                                                           | Java            |        476 |         54 |        154 |        684 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AudienciaTurnoJornada.java                                               | Java            |        118 |         38 |         50 |        206 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AudienciaTurnoJornadaPK.java                                             | Java            |         68 |         20 |         28 |        116 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AuditoriaSistemaExterno.java                                             | Java            |        179 |         38 |         69 |        286 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\AutorizacionTratamientoDatos.java                                        | Java            |        122 |         38 |         50 |        210 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Carpeta.java                                                             | Java            |        220 |         38 |         83 |        341 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CartaPersona.java                                                        | Java            |        437 |         38 |        150 |        625 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Caso.java                                                                | Java            |      1,245 |        159 |        404 |      1,808 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Centro.java                                                              | Java            |        238 |         44 |         86 |        368 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Clasificacion.java                                                       | Java            |        160 |         38 |         61 |        259 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ClasificadorDominio.java                                                 | Java            |        128 |         38 |         54 |        220 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ClasificadorDominioPK.java                                               | Java            |        104 |         20 |         42 |        166 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Clave.java                                                               | Java            |        142 |         38 |         56 |        236 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ClavePK.java                                                             | Java            |         68 |         20 |         30 |        118 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ContestacionDemanda.java                                                 | Java            |        230 |         38 |         87 |        355 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ContratoConvenio.java                                                    | Java            |        234 |         38 |         88 |        360 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Convenio.java                                                            | Java            |        430 |         38 |        139 |        607 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ConvenioCentro.java                                                      | Java            |        123 |         38 |         52 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\ConvenioCentroPK.java                                                    | Java            |         86 |         20 |         36 |        142 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoElectronico.java                                                   | Java            |        212 |         45 |         76 |        333 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoElectronicoPersonaSolicitud.java                                   | Java            |        120 |         38 |         51 |        209 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoElectronicoPersonaSolicitudPK.java                                 | Java            |        104 |         20 |         41 |        165 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoElectronicoRolPersonaCaso.java                                     | Java            |        125 |         38 |         50 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoElectronicoRolPersonaCasoPK.java                                   | Java            |        104 |         20 |         41 |        165 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorreoRolPersonaCaso.java                                                | Java            |        383 |         38 |        120 |        541 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorrerTraslado.java                                                      | Java            |         98 |          3 |         35 |        136 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CorrerTrasladoPK.java                                                    | Java            |        107 |          3 |         33 |        143 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CriterioTotal.java                                                       | Java            |        108 |         38 |         48 |        194 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\CriterioTotalPK.java                                                     | Java            |         68 |         20 |         29 |        117 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Cuaderno.java                                                            | Java            |        139 |         27 |         47 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\transversal\entidades\Cuota.java                                                               | Java            |        128 |         38 |         53 |        219 |
