"filename", "language", "Java", "XML", "HTML", "Java Properties", "JavaScript", "CSS", "SQL", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\ejbModule\META-INF\ejb-jar.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\ejbModule\META-INF\wsdl\EnvioCorreoService.asmx.wsdl", "XML", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\pom.xml", "XML", 0, 208, 0, 0, 0, 0, 0, 0, 0, 3, 17, 228
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\AdjuntoDTO.java", "Java", 25, 0, 0, 0, 0, 0, 0, 0, 0, 52, 11, 88
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\ArrayOfAdjuntoDTO.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 41, 8, 73
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\ArrayOfString.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 41, 8, 73
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreo.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 63
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoInDTO.java", "Java", 65, 0, 0, 0, 0, 0, 0, 0, 0, 137, 21, 223
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoOutDTO.java", "Java", 25, 0, 0, 0, 0, 0, 0, 0, 0, 44, 11, 80
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoResponse.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 63
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoService.java", "Java", 65, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 108
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoServiceSoap.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 34
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoServiceSoap12Proxy.java", "Java", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 124
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\EnvioCorreoServiceSoapProxy.java", "Java", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 124
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\ObjectFactory.java", "Java", 28, 0, 0, 0, 0, 0, 0, 0, 0, 46, 15, 89
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\package-info.java", "Java", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
